Membership No  Date Joined  Active  
    95370      2016-2-5     no    
    65530      2020-12-23   no    
    77892      2018-5-23    no    
    54280      2016-10-10   no    
    41319      2019-10-8    no    
    20188      2017-4-7     no    
    21385      2019-3-17    no    
    58404      2015-1-20    no    
    19120      2016-11-15   no    
    93281      2016-7-1     no    
    44319      2020-3-5     no    
    53412      2020-2-15    no    
    52343      2019-9-25    no    
    47565      2018-8-3     no    
    37822      2015-12-10   no    
    54474      2019-7-23    no    
